"","r","var","r","var"
"41",0.783558073753538,"harvardox_cortical_22.X.harvardox_cortical_31",0.804274779260126,"harvardox_cortical_43.X.harvardox_cortical_46"
"42",0.783558073753538,"harvardox_cortical_31.X.harvardox_cortical_22",0.804274779260126,"harvardox_cortical_46.X.harvardox_cortical_43"
"43",0.7809973164132,"harvardox_cortical_23.X.harvardox_cortical_48",0.798678159827688,"harvardox_cortical_23.X.harvardox_cortical_48"
"44",0.7809973164132,"harvardox_cortical_48.X.harvardox_cortical_23",0.798678159827688,"harvardox_cortical_48.X.harvardox_cortical_23"
"45",0.775988401879169,"harvardox_cortical_22.X.harvardox_subcortical_2",0.796964145284242,"harvardox_subcortical_16.X.harvardox_subcortical_5"
"46",0.775988401879169,"harvardox_subcortical_2.X.harvardox_cortical_22",0.796964145284242,"harvardox_subcortical_5.X.harvardox_subcortical_16"
"47",0.775333717466317,"harvardox_cortical_23.X.harvardox_cortical_39",0.794852130406638,"harvardox_cortical_3.X.harvardox_cortical_4"
"48",0.775333717466317,"harvardox_cortical_39.X.harvardox_cortical_23",0.794852130406638,"harvardox_cortical_4.X.harvardox_cortical_3"
"49",0.773610692120596,"harvardox_cortical_3.X.harvardox_cortical_4",0.79228809781376,"harvardox_cortical_40.X.harvardox_cortical_48"
"50",0.773610692120596,"harvardox_cortical_4.X.harvardox_cortical_3",0.79228809781376,"harvardox_cortical_48.X.harvardox_cortical_40"
"51",0.77099134223913,"harvardox_cortical_22.X.harvardox_subcortical_13",0.789188867832287,"harvardox_cortical_24.X.harvardox_cortical_32"
"52",0.77099134223913,"harvardox_subcortical_13.X.harvardox_cortical_22",0.789188867832287,"harvardox_cortical_32.X.harvardox_cortical_24"
"53",0.768795280939366,"harvardox_cortical_36.X.harvardox_cortical_47",0.784465846562303,"harvardox_cortical_1.X.harvardox_cortical_28"
"54",0.768795280939366,"harvardox_cortical_47.X.harvardox_cortical_36",0.784465846562303,"harvardox_cortical_28.X.harvardox_cortical_1"
"55",0.768310234591895,"harvardox_cortical_28.X.harvardox_cortical_29",0.784289131390743,"harvardox_cortical_39.X.harvardox_cortical_40"
"56",0.768310234591895,"harvardox_cortical_29.X.harvardox_cortical_28",0.784289131390743,"harvardox_cortical_40.X.harvardox_cortical_39"
"57",0.767451404180528,"harvardox_cortical_45.X.harvardox_cortical_46",0.778476798459156,"right_ffa_sphere_6mm_mni2mm.X.harvardox_cortical_39"
"58",0.767451404180528,"harvardox_cortical_46.X.harvardox_cortical_45",0.778476798459156,"harvardox_cortical_39.X.right_ffa_sphere_6mm_mni2mm"
"59",0.765130668093024,"harvardox_cortical_36.X.harvardox_cortical_39",0.774326444335779,"harvardox_cortical_22.X.harvardox_subcortical_2"
"60",0.765130668093024,"harvardox_cortical_39.X.harvardox_cortical_36",0.774326444335779,"harvardox_subcortical_2.X.harvardox_cortical_22"
"61",0.764605262672405,"harvardox_subcortical_17.X.harvardox_subcortical_6",0.771993010216031,"harvardox_cortical_22.X.harvardox_subcortical_13"
"62",0.764605262672405,"harvardox_subcortical_6.X.harvardox_subcortical_17",0.771993010216031,"harvardox_subcortical_13.X.harvardox_cortical_22"
"63",0.764113975007411,"harvardox_cortical_46.X.harvardox_cortical_43",0.771851798290864,"harvardox_cortical_45.X.harvardox_cortical_46"
"64",0.764113975007411,"harvardox_cortical_43.X.harvardox_cortical_46",0.771851798290864,"harvardox_cortical_46.X.harvardox_cortical_45"
"65",0.761939486877206,"harvardox_subcortical_12.X.harvardox_subcortical_2",0.768307667095253,"harvardox_cortical_42.X.harvardox_cortical_45"
"66",0.761939486877206,"harvardox_subcortical_2.X.harvardox_subcortical_12",0.768307667095253,"harvardox_cortical_45.X.harvardox_cortical_42"
"67",0.760605780846178,"vmpfc_trimmed_prob.5_mni2mm.X.harvardox_cortical_27",0.767100360374448,"harvardox_cortical_2.X.harvardox_cortical_41"
"68",0.760605780846178,"harvardox_cortical_27.X.vmpfc_trimmed_prob.5_mni2mm",0.767100360374448,"harvardox_cortical_41.X.harvardox_cortical_2"
"69",0.758400777890875,"harvardox_cortical_32.X.harvardox_cortical_36",0.763348738016258,"harvardox_cortical_17.X.harvardox_cortical_18"
"70",0.758400777890875,"harvardox_cortical_36.X.harvardox_cortical_32",0.763348738016258,"harvardox_cortical_18.X.harvardox_cortical_17"
"71",0.756637255255922,"harvardox_cortical_17.X.harvardox_cortical_18",0.763057709364999,"harvardox_cortical_20.X.harvardox_cortical_21"
"72",0.756637255255922,"harvardox_cortical_18.X.harvardox_cortical_17",0.763057709364999,"harvardox_cortical_21.X.harvardox_cortical_20"
"73",0.754963607751524,"harvardox_cortical_1.X.harvardox_cortical_28",0.761195535115618,"harvardox_cortical_36.X.harvardox_cortical_47"
"74",0.754963607751524,"harvardox_cortical_28.X.harvardox_cortical_1",0.761195535115618,"harvardox_cortical_47.X.harvardox_cortical_36"
"75",0.752895639201096,"harvardox_cortical_2.X.harvardox_cortical_42",0.759115288460584,"harvardox_subcortical_2.X.harvardox_subcortical_12"
"76",0.752895639201096,"harvardox_cortical_42.X.harvardox_cortical_2",0.759115288460584,"harvardox_subcortical_12.X.harvardox_subcortical_2"
"77",0.749853479058455,"harvardox_subcortical_1.X.harvardox_subcortical_13",0.757810985671756,"harvardox_cortical_36.X.harvardox_cortical_39"
"78",0.749853479058455,"harvardox_subcortical_13.X.harvardox_subcortical_1",0.757810985671756,"harvardox_cortical_39.X.harvardox_cortical_36"
